locus_tag	ftype	length_bp	gene	EC_number	COG	product
BPPMDLJL_00001	CDS	228				hypothetical protein
BPPMDLJL_00002	CDS	264				hypothetical protein
BPPMDLJL_00003	CDS	294				hypothetical protein
BPPMDLJL_00004	CDS	432				hypothetical protein
BPPMDLJL_00005	CDS	174				hypothetical protein
BPPMDLJL_00006	CDS	546				hypothetical protein
BPPMDLJL_00007	CDS	480				hypothetical protein
BPPMDLJL_00008	CDS	855				hypothetical protein
BPPMDLJL_00009	CDS	2628				hypothetical protein
BPPMDLJL_00010	CDS	174				hypothetical protein
BPPMDLJL_00011	CDS	1800	xerC_1			Tyrosine recombinase XerC
BPPMDLJL_00012	CDS	354				hypothetical protein
BPPMDLJL_00013	CDS	174	xerC_2			Tyrosine recombinase XerC
BPPMDLJL_00014	CDS	2190				hypothetical protein
BPPMDLJL_00015	CDS	2148				hypothetical protein
BPPMDLJL_00016	CDS	1887				hypothetical protein
BPPMDLJL_00017	CDS	1008				hypothetical protein
BPPMDLJL_00018	CDS	672				hypothetical protein
BPPMDLJL_00019	CDS	519				hypothetical protein
BPPMDLJL_00020	CDS	258				hypothetical protein
BPPMDLJL_00021	CDS	210				hypothetical protein
BPPMDLJL_00022	CDS	834			COG3039	IS5 family transposase IS1648
BPPMDLJL_00023	CDS	396				hypothetical protein
BPPMDLJL_00024	CDS	531				hypothetical protein
BPPMDLJL_00025	CDS	3753	rhsC	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
BPPMDLJL_00026	CDS	573				hypothetical protein
BPPMDLJL_00027	CDS	288				hypothetical protein
BPPMDLJL_00028	CDS	660				hypothetical protein
BPPMDLJL_00029	CDS	402				hypothetical protein
BPPMDLJL_00030	CDS	363				hypothetical protein
BPPMDLJL_00031	CDS	570				hypothetical protein
BPPMDLJL_00032	CDS	243				hypothetical protein
BPPMDLJL_00033	CDS	1701	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BPPMDLJL_00034	CDS	873				hypothetical protein
BPPMDLJL_00035	CDS	342				hypothetical protein
BPPMDLJL_00036	CDS	957				hypothetical protein
BPPMDLJL_00037	CDS	1002				hypothetical protein
BPPMDLJL_00038	CDS	582				hypothetical protein
BPPMDLJL_00039	CDS	468				hypothetical protein
BPPMDLJL_00040	CDS	303				hypothetical protein
BPPMDLJL_00041	CDS	2037				hypothetical protein
BPPMDLJL_00042	CDS	642				hypothetical protein
BPPMDLJL_00043	CDS	228				hypothetical protein
BPPMDLJL_00044	CDS	1206				hypothetical protein
BPPMDLJL_00045	CDS	942		3.3.2.10		Soluble epoxide hydrolase
BPPMDLJL_00046	CDS	990				hypothetical protein
BPPMDLJL_00047	CDS	519				hypothetical protein
BPPMDLJL_00048	CDS	378				hypothetical protein
BPPMDLJL_00049	CDS	1344				hypothetical protein
BPPMDLJL_00050	CDS	393				hypothetical protein
BPPMDLJL_00051	CDS	1227	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
BPPMDLJL_00052	CDS	375			COG3039	IS5 family transposase ISBugl2
BPPMDLJL_00053	CDS	345				hypothetical protein
BPPMDLJL_00054	CDS	1191				IS200/IS605 family transposase ISTel3
BPPMDLJL_00055	CDS	627				hypothetical protein
BPPMDLJL_00056	CDS	294				hypothetical protein
BPPMDLJL_00057	CDS	2220				hypothetical protein
BPPMDLJL_00058	CDS	222				hypothetical protein
BPPMDLJL_00059	CDS	258				hypothetical protein
BPPMDLJL_00060	CDS	873				hypothetical protein
BPPMDLJL_00061	CDS	564				hypothetical protein
BPPMDLJL_00062	CDS	1056				hypothetical protein
BPPMDLJL_00063	CDS	744				hypothetical protein
BPPMDLJL_00064	CDS	243				hypothetical protein
BPPMDLJL_00065	CDS	225				hypothetical protein
BPPMDLJL_00066	CDS	516				hypothetical protein
BPPMDLJL_00067	CDS	1203				IS200/IS605 family transposase ISTel3
BPPMDLJL_00068	CDS	492				hypothetical protein
BPPMDLJL_00069	CDS	222				hypothetical protein
BPPMDLJL_00070	CDS	237				hypothetical protein
BPPMDLJL_00071	CDS	423				hypothetical protein
BPPMDLJL_00072	CDS	471				hypothetical protein
BPPMDLJL_00073	CDS	993	nphR			Transcriptional activator NphR
BPPMDLJL_00074	CDS	1467				hypothetical protein
BPPMDLJL_00075	CDS	240				hypothetical protein
BPPMDLJL_00076	CDS	258				hypothetical protein
BPPMDLJL_00077	CDS	438				hypothetical protein
BPPMDLJL_00078	CDS	183				hypothetical protein
BPPMDLJL_00079	CDS	1491	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
BPPMDLJL_00080	CDS	735	tcrA_1		COG0745	Transcriptional regulatory protein TcrA
BPPMDLJL_00081	CDS	1473				hypothetical protein
BPPMDLJL_00082	CDS	180				hypothetical protein
BPPMDLJL_00083	CDS	423	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
BPPMDLJL_00084	CDS	1008	tpc1	4.2.3.96		Avermitilol synthase
BPPMDLJL_00085	CDS	414	rlmAII	2.1.1.188		23S rRNA (guanine(748)-N(1))-methyltransferase
BPPMDLJL_00086	CDS	561				IS982 family transposase ISCef2
BPPMDLJL_00087	CDS	939				hypothetical protein
BPPMDLJL_00088	CDS	336	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
BPPMDLJL_00089	CDS	771				hypothetical protein
BPPMDLJL_00090	CDS	582				hypothetical protein
BPPMDLJL_00091	CDS	219				hypothetical protein
BPPMDLJL_00092	CDS	1194				hypothetical protein
BPPMDLJL_00093	CDS	840				hypothetical protein
BPPMDLJL_00094	CDS	996				hypothetical protein
BPPMDLJL_00095	CDS	306				hypothetical protein
BPPMDLJL_00096	CDS	162				hypothetical protein
BPPMDLJL_00097	CDS	303				hypothetical protein
BPPMDLJL_00098	CDS	777				hypothetical protein
BPPMDLJL_00099	CDS	588				hypothetical protein
BPPMDLJL_00100	CDS	447				hypothetical protein
BPPMDLJL_00101	CDS	396				hypothetical protein
BPPMDLJL_00102	CDS	615				hypothetical protein
BPPMDLJL_00103	CDS	492				hypothetical protein
BPPMDLJL_00104	CDS	468				hypothetical protein
BPPMDLJL_00105	CDS	1539				hypothetical protein
